Zone,Disponibilité alimentaire en quantité (kg/personne/an),Exportations - Quantité,Population,PIB par habitant annuel en 2017 ($),Stabilité politique,Valeur index infrastructure,dep_import,autosuffisance,taux_urbain
Albanie,16.36,0.0,2884169,4213.46,0.38,3.56,0.81,0.28,60.0
Algérie,6.38,0.0,41389189,4162.15,-0.92,3.56,0.01,0.99,72.0
Argentine,42.24,207000000.0,43937140,14660.23,0.17,3.85,0.0,1.1,92.0
Arménie,16.06,0.0,2944791,3899.68,-0.62,3.85,0.74,0.23,63.0
Allemagne,19.47,646000000.0,82658409,43286.1,0.59,5.96,0.48,0.87,77.0
Australie,47.65,42000000.0,24584620,52993.87,0.89,5.27,0.01,1.08,85.0
Autriche,18.2,78000000.0,8819901,45050.43,1.05,5.73,0.64,0.86,57.99999999999999
Azerbaïdjan,13.11,0.0,9845320,5161.62,-0.75,4.54,0.21,0.81,55.00000000000001
Bangladesh,1.5,0.0,159685424,1639.9,-1.26,2.92,0.0,1.0,37.0
Belgique,12.65,656000000.0,11419748,41614.12,0.43,5.42,2.22,3.05,98.0
Bénin,14.4,0.0,11175198,1032.9,0.03,2.31,0.76,0.11,47.0
Bosnie-Herzégovine,16.7,8000000.0,3351525,5099.82,-0.35,3.3,0.18,1.11,50.0
Botswana,3.39,0.0,2205080,6662.34,1.02,3.64,0.43,0.71,71.0
Brésil,48.03,4223000000.0,207833823,8628.25,-0.42,4.11,0.0,1.42,87.0
Bulgarie,22.06,45000000.0,7102444,7594.88,0.33,4.06,0.69,0.68,74.0
Cambodge,2.34,0.0,16009409,1743.98,0.09,3.14,0.26,0.74,23.0
Cameroun,3.16,0.0,24566073,1444.91,-1.1,2.25,0.0,0.99,55.00000000000001
Canada,39.02,163000000.0,36732095,44022.05,1.1,5.7,0.13,0.99,81.0
Cabo Verde,17.62,0.0,537498,3719.71,0.77,3.5,1.2,0.1,66.0
Chili,36.36,115000000.0,18470439,13475.92,0.42,4.78,0.23,1.06,86.0
"Chine, continentale",12.33,576000000.0,1421021791,8949.77,-0.23,4.66,0.02,1.0,56.99999999999999
Colombie,31.99,2000000.0,48909839,6309.68,-0.77,3.77,0.05,0.95,81.0
Costa Rica,26.52,3000000.0,4949954,12468.57,0.61,4.25,0.13,0.99,78.0
Croatie,10.77,17000000.0,4182857,13229.62,0.69,4.65,0.53,1.36,56.99999999999999
Chypre,25.08,1000000.0,1179678,17889.45,0.54,5.11,0.37,0.66,67.0
Chine - RAS de Hong-Kong,53.51,663000000.0,7306322,44072.66,0.83,6.7,3.24,0.09,100.0
Danemark,28.98,139000000.0,5732274,55599.2,0.87,5.51,0.8,1.04,88.0
Équateur,19.31,0.0,16785361,6104.27,-0.07,4.12,0.0,1.0,63.0
Égypte,12.96,1000000.0,96442591,3331.12,-1.42,4.13,0.09,0.89,43.0
El Salvador,20.43,2000000.0,6388126,3954.84,-0.26,3.97,0.12,1.04,71.0
Estonie,21.26,11000000.0,1319390,19270.22,0.65,5.09,0.72,0.69,68.0
Éthiopie,0.13,0.0,106399924,677.85,-1.68,2.71,0.07,1.0,20.0
Finlande,18.76,12000000.0,5511371,44860.74,1.08,5.39,0.14,1.16,86.0
France,22.9,501000000.0,64842509,38520.76,0.28,6.1,0.32,1.11,80.0
Gambie,3.53,0.0,2213889,628.78,-0.08,3.64,2.0,0.25,56.99999999999999
Géorgie,15.27,5000000.0,4008716,4366.6,-0.37,4.19,0.84,0.36,56.99999999999999
Ghana,7.24,0.0,29121465,1840.3,0.09,3.25,0.72,0.28,55.00000000000001
Grèce,15.32,29000000.0,10569450,18354.04,-0.07,4.89,0.44,1.38,83.0
Guatemala,20.58,7000000.0,16914970,3972.74,-0.65,3.82,0.36,0.66,51.0
