Zone;Production;Importations - Quantité;Disponibilité intérieure;Disponibilité alimentaire en quantité (kg/personne/an);Exportations - Quantité;Population;Population urbaine;PIB par habitant annuel en 2017 ($);Stabilité politique;Valeur index infrastructure
Albanie;13000000;38000000;47000000;16,36;0;2884169;1740032;4213,46;0,38;3,56
Algérie;275000000;2000000;277000000;6,38;0;41389189;29770610;4162,15;-0,92;3,56
Argentine;2161000000;8000000;1962000000;42,24;207000000;43937140;40618237;14660,23;0,17;3,85
Arménie;11000000;35000000;47000000;16,06;0;2944791;1849202;3899,68;-0,62;3,85
Allemagne;1514000000;842000000;1739000000;19,47;646000000;82658409;63442124;43286,1;0,59;5,96
Australie;1269000000;16000000;1171000000;47,65;42000000;24584620;21003923;52993,87;0,89;5,27
Autriche;148000000;110000000;173000000;18,2;78000000;8819901;5074746;45050,43;1,05;5,73
Azerbaïdjan;104000000;27000000;129000000;13,11;0;9845320;5438926;5161,62;-0,75;4,54
Bangladesh;249000000;0;250000000;1,5;;159685424;59046818;1639,9;-1,26;2,92
Belgique;463000000;338000000;152000000;12,65;656000000;11419748;11196239;41614,12;0,43;5,42
Bénin;18000000;123000000;161000000;14,4;0;11175198;5226646;1032,9;0,03;2,31
Bosnie-Herzégovine;61000000;10000000;55000000;16,7;8000000;3351525;1679011;5099,82;-0,35;3,3
Botswana;5000000;3000000;7000000;3,39;0;2205080;1574371;6662,34;1,02;3,64
Brésil;14201000000;3000000;9982000000;48,03;4223000000;207833823;180633872;8628,25;-0,42;4,11
Bulgarie;107000000;108000000;157000000;22,06;45000000;7102444;5289957;7594,88;0,33;4,06
Cambodge;28000000;10000000;38000000;2,34;;16009409;3678035;1743,98;0,09;3,14
Cameroun;81000000;0;82000000;3,16;0;24566073;13416537;1444,91;-1,1;2,25
Canada;1417000000;182000000;1433000000;39,02;163000000;36732095;29793946;44022,05;1,1;5,7
Cabo Verde;1000000;12000000;10000000;17,62;;537498;356580;3719,71;0,77;3,5
Chili;712000000;155000000;672000000;36,36;115000000;18470439;15796168;13475,92;0,42;4,78
Chine, continentale;18236000000;452000000;18161000000;12,33;576000000;1421021791;816957613;8949,77;-0,23;4,66
Colombie;1564000000;78000000;1643000000;31,99;2000000;48909839;39471097;6309,68;-0,77;3,77
Costa Rica;133000000;17000000;134000000;26,52;3000000;4949954;3853956;12468,57;0,61;4,25
Croatie;61000000;24000000;45000000;10,77;17000000;4182857;2373980;13229,62;0,69;4,65
Chypre;25000000;14000000;38000000;25,08;1000000;1179678;788359;17889,45;0,54;5,11
Chine - RAS de Hong-Kong;24000000;907000000;280000000;53,51;663000000;7306322;7364883;44072,66;0,83;6,7
Danemark;173000000;133000000;167000000;28,98;139000000;5732274;5031580;55599,2;0,87;5,51
Équateur;340000000;0;341000000;19,31;0;16785361;10585047;6104,27;-0,07;4,12
Égypte;1118000000;110000000;1250000000;12,96;1000000;96442591;41659745;3331,12;-1,42;4,13
El Salvador;136000000;16000000;131000000;20,43;2000000;6388126;4545804;3954,84;-0,26;3,97
Estonie;20000000;21000000;29000000;21,26;11000000;1319390;899945;19270,22;0,65;5,09
Éthiopie;14000000;1000000;14000000;0,13;;106399924;21316856;677,85;-1,68;2,71
Finlande;129000000;16000000;111000000;18,76;12000000;5511371;4712684;44860,74;1,08;5,39
France;1750000000;506000000;1573000000;22,9;501000000;64842509;52100536;38520,76;0,28;6,1
Gambie;2000000;16000000;8000000;3,53;;2213889;1272914;628,78;-0,08;3,64
Géorgie;22000000;51000000;61000000;15,27;5000000;4008716;2278042;4366,6;-0,37;4,19
Ghana;60000000;151000000;211000000;7,24;0;29121465;15975765;1840,3;0,09;3,25
Grèce;246000000;79000000;178000000;15,32;29000000;10569450;8785441;18354,04;-0,07;4,89
Guatemala;235000000;129000000;357000000;20,58;7000000;16914970;8571832;3972,74;-0,65;3,82
Tchad;6000000;1000000;7000000;0,45;0;15016753;3405873;878,61;-1,29;1,9
Guinée;13000000;37000000;50000000;4,08;;12067519;4551855;867,91;-0,7;2,43
Haïti;9000000;89000000;98000000;8,91;;10982366;5967808;1370,42;-0,67;1,79
Eswatini;6000000;2000000;7000000;6,46;0;1124805;323016;3613,81;-0,27;3,22
Honduras;193000000;12000000;205000000;21,73;1000000;9429013;5230757;2383,37;-0,56;3,24
Hongrie;493000000;58000000;266000000;25,27;210000000;9729823;6908347;13651,65;0,81;4,36
Islande;10000000;2000000;10000000;29,95;0;334393;314163;56479,83;1,35;5,56
Inde;3545000000;0;3661000000;2,22;4000000;1338676785;449963381;1825,41;-0,76;4,22
Indonésie;2301000000;1000000;2323000000;7,19;0;264650963;144294861;3553,52;-0,5;4,52
Iran (République islamique d');2174000000;6000000;2220000000;27,52;45000000;80673883;60380188;5486,64;-0,93;4,35
Irlande;110000000;99000000;128000000;25,82;93000000;4753279;2997322;70027,26;1;5,11
Israël;629000000;0;636000000;67,39;3000000;8243848;7683807;39550,21;-0,89;5,4
Italie;1315000000;97000000;1173000000;18,88;183000000;60673701;41637312;31432,23;0,31;5,37
Jamaïque;128000000;31000000;152000000;51,1;1000000;2920848;1600602;5159,35;0,31;4,09
Japon;2215000000;1069000000;2415000000;18,5;10000000;127502725;116693276;35835,81;1,11;6,34
Jordanie;210000000;64000000;275000000;28,07;10000000;9785843;8804565;3940,71;-0,5;4,34
Tchéquie;163000000;116000000;249000000;21,96;27000000;10641034;7823027;19354,69;1;4,61
Kazakhstan;171000000;174000000;331000000;18,27;6000000;18080019;10437728;10676,13;0,04;4,2
Kenya;35000000;0;35000000;0,67;0;50221142;13201347;1542,54;-1,13;3,46
Koweït;56000000;137000000;189000000;46,25;4000000;4056099;4136528;27049,22;-0,05;4,26
Kirghizistan;7000000;25000000;32000000;3,1;0;6189733;2184417;1212,55;-0,43;3,05
Lettonie;33000000;43000000;41000000;20,89;20000000;1951097;1327234;14380,3;0,46;4,4
République dominicaine;339000000;42000000;375000000;35,26;6000000;10513104;8643423;7447,94;0,16;3,3
Liban;64000000;13000000;73000000;10,74;4000000;6819373;5378552;8307,05;-1,63;2,79
Lesotho;2000000;15000000;17000000;7,93;0;2091534;619305;1097,82;-0,19;2,49
Libéria;15000000;48000000;50000000;10,67;0;4702226;2398953;671,47;-0,36;2,41
Lituanie;118000000;44000000;82000000;28,19;68000000;2845414;1951399;15769,93;0,78;4,65
Luxembourg;0;11000000;11000000;18,33;1000000;591910;529352;107113,48;1,33;5,68
Madagascar;81000000;0;82000000;2,87;;25570512;9339025;456,85;-0,3;1,99
Malawi;130000000;0;98000000;5,17;;17670196;3112590;542,7;-0,25;1,79
Malaisie;1724000000;68000000;1621000000;39,21;44000000;31104646;23859450;10293,75;0,12;5,46
Mali;48000000;1000000;52000000;2,83;;18512430;7708268;768,78;-1,91;2,83
