Insee_commune;Dep_code;Nom_commune;Population_num;Pop_CAP
01001;01;L'ABERGEMENT-CLEMENCIAT;779;19
01002;01;L'ABERGEMENT-DE-VAREY;256;1
01003;01;AMAREINS;;
01004;01;AMBERIEU-EN-BUGEY;14134;380
01005;01;AMBERIEUX-EN-DOMBES;1751;25
01006;01;AMBLEON;112;6
01007;01;AMBRONAY;2800;115
01008;01;AMBUTRIX;762;15
01009;01;ANDERT-ET-CONDON;326;9
01010;01;ANGLEFORT;1105;17
01011;01;APREMONT;368;11
01012;01;ARANC;329;4
01013;01;ARANDAS;143;4
01014;01;ARBENT;3349;93
01015;01;ARBIGNIEU;650;17
01016;01;ARBIGNY;460;9
01017;01;ARGIS;457;16
01019;01;ARMIX;27;4
01018;01;ARLOD;;
01021;01;ARS-SUR-FORMANS;1457;28
01022;01;ARTEMARE;1249;18
01020;01;ARNANS;;
01023;01;ASNIERES-SUR-SAONE;76;0
01024;01;ATTIGNAT;3251;65
01025;01;BAGE-LA-VILLE;4065;106
01026;01;BAGE-LE-CHATEL;973;68
01027;01;BALAN;2563;52
01028;01;BANEINS;617;17
01029;01;BEAUPONT;685;8
01030;01;BEAUREGARD;829;15
01031;01;BELLIGNAT;3652;234
01032;01;BELIGNEUX;3376;29
01033;01;BELLEGARDE-SUR-VALSERINE;16378;350
01034;01;BELLEY;9182;400
01035;01;BELLEYDOUX;310;8
01036;01;BELMONT-LUTHEZIEU;1326;19
01037;01;BENONCES;308;4
01038;01;BENY;754;21
01039;01;BEON;443;8
01040;01;BEREZIAT;486;10
01041;01;BETTANT;748;21
01042;01;BEY;291;14
01043;01;BEYNOST;4754;113
01044;01;BILLIAT;632;16
01045;01;BIRIEUX;283;4
01046;01;BIZIAT;895;8
01047;01;BLYES;1182;32
01049;01;LA BOISSE;3283;73
01050;01;BOISSEY;365;4
01051;01;BOLOZON;91;1
01048;01;BOHAS;;
01052;01;BOULIGNEUX;328;6
01053;01;BOURG-EN-BRESSE;41111;1742
01054;01;BOURG-SAINT-CHRISTOPHE;1457;32
01056;01;BOYEUX-SAINT-JEROME;349;5
01057;01;BOZ;519;16
01058;01;BREGNIER-CORDON;828;21
01060;01;BRENOD;493;21
01055;01;BOUVENT;;
