Reg_code;Regp_region;Reg_nom
84;Province;Auvergne-Rhône-Alpes
32;Province;Hauts-de-France
93;Province;Provence-Alpes-Côte d'Azur
44;Province;Grand Est
76;Province;Occitanie
28;Province;Normandie
75;Province;Nouvelle-Aquitaine
24;Province;Centre-Val de Loire
27;Province;Bourgogne-Franche-Comté
53;Province;Bretagne
52;Province;Pays de la Loire
11;Ile-de-France;Ile-de-France
01;DROM-COM;Guadeloupe
02;DROM-COM;Martinique
03;DROM-COM;Guyane
04;DROM-COM;La Réunion
00;DROM-COM;Collectivités d'outre-mer
06;DROM-COM;Mayotte
94;Province;Corse
