id_salarié;Sexe;Tranche d'age;Congé maternité A-1;Salaire base 35h;Augmentation;Promotion
1;H;40-49;0;9999.3833;0;0
2;H;40-49;0;9978.15;0;0
3;H;40-49;0;9940.2333;0;0
4;H;30-39;0;9928.1;1;1
5;F;40-49;0;9873.5;0;0
6;H;30-39;0;9785.5333;0;0
7;F;40-49;0;9782.5;0;0
8;F;40-49;0;9777.95;1;0
9;H;50+;0;9737;1;1
10;H;50+;0;9642.9667;0;0
11;H;40-49;0;9635.3833;1;0
12;H;40-49;0;9573.2;1;0
13;H;40-49;0;9573.2;0;0
14;F;30-39;0;9555;1;0
15;F;40-49;0;9497.3667;1;0
16;H;50+;0;9488.2667;1;1
17;H;40-49;0;9447.3167;1;0
18;F;50+;0;9426.0833;1;0
19;H;50+;0;9400.3;1;0
20;F;40-49;0;9366.9333;1;1
21;F;50+;0;9256.2167;1;0
22;F;40-49;0;9218.3;0;0
23;F;50+;0;9162.1833;1;0
24;H;50+;0;9096.9667;0;0
25;H;40-49;0;9069.6667;0;0
26;H;30-39;0;9039.3333;1;1
27;F;40-49;0;9691.5;1;0
28;F;30-39;0;8828.5167;0;1
29;F;30-39;0;8746.6167;0;1
30;H;30-39;0;8716.2833;0;0
31;H;50+;0;8714.7667;1;0
32;H;50+;0;8696.5667;1;0
33;H;50+;0;8696.5667;0;0
34;F;40-49;0;8655.6167;1;0
35;F;40-49;0;8629.8333;0;0
36;H;40-49;0;8563.1;0;0
37;H;30-39;0;8458.45;0;0
38;H;50+;0;8428.1167;1;0
39;F;50+;0;8422.05;0;1
40;H;30-39;0;8337.1167;0;1
41;F;30-39;0;8332.5667;0;0
42;F;30-39;0;8328.0167;1;0
43;H;30-39;0;8277.9667;0;0
44;F;50+;0;8218.8167;0;0
45;F;40-49;0;8126.3;1;0
46;F;30-39;0;8108.1;0;0
47;H;40-49;0;8073.2167;1;1
48;F;40-49;0;8056.5333;0;0
49;F;50+;0;8056.5333;0;1
50;F;40-49;0;7942.7833;1;0
51;H;40-49;0;7927.6167;1;0
52;F;50+;0;7898.8;0;0
53;F;30-39;0;7889.7;0;0
54;F;40-49;0;7877.5667;1;0
55;H;40-49;0;7753.2;1;0
56;H;50+;0;7713.7667;1;0
57;H;30-39;0;7710.7333;0;0
58;F;40-49;0;7687.9833;0;0
59;F;40-49;0;7672.8167;1;1
60;H;40-49;0;7654.6167;1;0
61;F;50+;0;7637.9333;1;0
62;H;30-39;0;7637.9333;0;0
63;F;40-49;0;7601.5333;1;1
64;F;40-49;0;7496.8833;1;0
65;F;50+;0;7377.0667;1;0
66;H;30-39;0;9198.583375;1;0
67;F;30-39;0;7308.8167;0;0
68;F;30-39;0;7304.2667;1;0
69;H;50+;0;9086.35;1;1
70;H;50+;0;7264.8333;0;0
71;H;50+;0;7263.3167;1;1
72;H;50+;0;7185.9667;1;0
73;H;40-49;0;7184.45;1;1
74;H;30-39;0;7178.3833;1;0
75;F;30-39;0;7157.15;0;0
76;F;30-39;1;7148.05;1;0
77;H;40-49;0;7098;1;0
78;H;50+;0;7081.3167;0;0
79;H;50+;0;6973.6333;0;1
80;F;30-39;0;6902.35;0;1
81;H;50+;0;9978.15;1;0
82;F;30-39;1;6838.65;1;0
83;F;40-49;0;6818.9333;1;0
84;F;40-49;0;7375.5499999999993;0;0
85;F;50+;0;6591.4333;0;0
86;F;50+;0;6583.85;1;0
87;H;50+;0;6526.2167;0;1
88;H;40-49;0;6494.3667;0;0
89;F;40-49;0;6413.9833;1;0
90;H;50+;0;6409.4333;0;0
91;H;40-49;0;6398.8167;1;0
92;F;30-39;0;6356.35;1;0
93;F;50+;0;6301.75;0;0
94;F;40-49;0;6212.2667;1;0
95;H;40-49;0;6195.5833;0;1
96;H;50+;0;9010.5166666666682;0;0
97;H;30-39;0;6175.8667;0;0
98;F;40-49;0;6163.7333;1;1
99;F;50+;0;6127.3333;1;1
100;H;30-39;0;6121.2667;0;0
101;H;40-49;0;6043.9167;1;0
102;H;40-49;0;6031.7833;1;0
103;H;40-49;0;6002.9667;1;0
104;H;40-49;0;5984.7667;0;0
105;F;50+;0;8679.8833333333332;1;0
106;H;30-39;0;5949.8833;1;0
107;H;40-49;0;5930.1667;0;0
108;F;50+;0;8597.9833333333336;1;0
109;H;30-39;0;5810.35;1;0
110;H;30-39;0;5805.8;0;0
111;H;50+;0;5749.6833;0;0
112;F;50+;0;5739.0667;1;1
113;H;30-39;0;8347.7333333333336;1;0
114;F;<30;0;5585.8833;1;0
115;F;40-49;0;5581.3333;1;1
116;F;50+;0;5522.1833;1;0
117;H;40-49;0;5517.6333;1;1
118;H;40-49;0;5464.55;0;0
119;H;30-39;0;7965.5333333333328;0;0
120;H;50+;0;5455.45;0;0
121;H;50+;0;7945.8166666666666;0;0
122;F;40-49;0;5388.7167;1;0
123;H;50+;0;5359.9;1;0
124;F;50+;0;5293.1667;0;0
125;H;50+;0;5212.7833;0;0
126;F;40-49;0;5106.6167;0;0
127;H;40-49;0;6371.5166250000011;1;0
128;F;40-49;0;5092.9667;1;0
129;F;50+;0;5076.2833;0;0
130;F;50+;0;5067.1833;1;0
131;F;30-39;1;5056.5667;1;0
132;H;50+;0;5035.3333;0;0
133;H;50+;0;4988.3167;0;0
134;F;50+;0;7254.2166666666662;0;0
135;F;50+;0;7120.75;1;0
136;F;30-39;0;7075.25;0;0
137;H;30-39;0;6993.3499999999995;0;1
138;F;40-49;0;4763.85;1;0
139;F;40-49;0;4712.2833;1;0
140;F;50+;0;4663.75;0;0
141;H;40-49;0;4624.3167;0;0
142;F;40-49;0;4563.65;1;0
143;F;40-49;0;4516.6333;1;0
144;H;50+;0;4499.95;1;0
145;H;50+;0;4449.9;1;0
146;F;40-49;0;4424.1167;0;0
147;H;50+;0;4421.0833;1;1
148;H;50+;0;4296.7167;0;0
149;F;50+;0;4289.1333;0;1
150;H;30-39;0;4281.55;1;0
151;H;50+;0;4263.35;0;0
152;F;50+;0;4204.2;1;0
153;F;30-39;0;4198.1333;1;0
154;H;50+;0;6074.25;0;0
155;F;40-49;0;4152.6333;1;0
156;H;40-49;0;4134.4333;0;0
157;F;50+;0;6004.4833333333327;1;0
158;F;40-49;0;4082.8667;0;0
159;H;50+;0;4022.2;0;0
160;F;30-39;0;4013.1;0;0
161;H;40-49;0;4000.9667;1;0
162;H;50+;0;3891.7667;0;0
163;H;30-39;0;3882.6667;0;1
164;F;50+;0;5619.25;1;1
165;F;50+;0;3835.65;0;0
166;H;40-49;0;3803.8;0;0
167;F;50+;0;3800.7667;1;1
168;F;50+;0;3797.7333;0;0
169;F;40-49;0;3705.2167;1;0
170;H;40-49;0;3693.0833;0;0
171;H;30-39;0;3677.9167;0;1
172;H;50+;0;3655.1667;0;0
173;F;40-49;0;3640;0;0
174;F;40-49;0;3597.5333;1;0
175;H;40-49;0;3582.3667;1;0
176;F;<30;1;3547.4833;1;0
177;H;40-49;0;3508.05;0;1
178;H;30-39;0;3486.8167;0;0
179;H;40-49;0;3462.55;1;0
180;F;50+;0;3459.5167;0;0
181;H;30-39;0;3436.7667;1;0
182;H;40-49;0;3383.6833;0;0
183;H;50+;0;3335.15;1;0
184;F;30-39;0;3260.8333;1;0
185;F;50+;0;3256.2833;0;0
186;H;40-49;0;3232.0167;0;0
187;F;50+;0;3218.3667;1;0
188;F;<30;0;3201.6833;0;0
189;F;40-49;0;3185;0;0
190;F;40-49;0;3168.3167;0;0
191;F;50+;0;3165.2833;0;0
192;F;50+;0;4545.45;0;0
193;F;50+;0;3097.0333;0;0
194;F;50+;0;4463.55;0;0
195;F;50+;0;3033.3333;0;0
196;F;50+;0;3012.1;1;0
197;H;30-39;0;2998.45;1;0
198;F;50+;0;2928.6833;1;1
199;H;40-49;0;2918.0667;1;0
200;F;30-39;0;2916.55;1;0
201;F;50+;0;2912;0;1
202;F;50+;0;2881.6667;0;0
203;H;30-39;0;2848.3;1;0
204;H;40-49;0;2843.75;0;0
205;H;50+;0;2834.65;1;0
206;H;50+;0;2828.5833;0;0
207;H;50+;0;3517.15;1;0
208;H;50+;0;2777.0167;1;0
209;H;30-39;0;2769.4333;0;0
210;H;50+;0;2767.9167;1;0
211;H;50+;0;3988.8333333333335;0;0
212;F;40-49;0;2731.5167;1;0
213;H;50+;0;2675.4;1;0
214;H;50+;0;2604.1167;1;0
215;H;30-39;0;2561.65;0;0
216;H;30-39;0;2558.6167;0;0
217;H;30-39;0;2511.6;0;0
218;F;40-49;0;3656.6833333333338;1;1
219;F;50+;0;2730;0;0
220;F;50+;0;2426.6667;0;0
221;H;40-49;0;2396.3333;0;0
222;F;30-39;0;2369.0333;0;0
223;H;50+;0;2578.3332968749996;0;0
224;F;50+;0;2309.8833;0;0
225;F;30-39;0;2226.4667;0;0
226;F;40-49;0;2132.4333;1;1
227;F;50+;0;2123.3333;0;0
228;F;40-49;0;2079.35;1;1
