"Sexe";"Congé maternité A-1";"Augmentation";"Promotion";"Durée hebdo";"Tranche d'age";"Salaire_base_35h";"id_salarié_ps"
"H";0;0;0;35;"40-49";9999.38;0
"H";0;0;0;35;"40-49";9978.15;1
"H";0;0;0;35;"40-49";9940.23;2
"H";0;1;1;35;"30-39";9928.1;3
"F";0;0;0;35;"40-49";9873.5;4
"H";0;0;0;35;"30-39";9785.53;5
"F";0;0;0;35;"40-49";9782.5;6
"F";0;1;0;35;"40-49";9777.95;7
"H";0;1;1;35;"50+";9737;8
"H";0;0;0;35;"50+";9642.97;9
"H";0;1;0;35;"40-49";9635.38;10
"H";0;1;0;35;"40-49";9573.2;11
"H";0;0;0;35;"40-49";9573.2;12
"F";0;1;0;35;"30-39";9555;13
"F";0;1;0;35;"40-49";9497.37;14
"H";0;1;1;35;"50+";9488.27;15
"H";0;1;0;35;"40-49";9447.32;16
"F";0;1;0;35;"50+";9426.08;17
"H";0;1;0;35;"50+";9400.3;18
"F";0;1;1;35;"40-49";9366.93;19
"F";0;1;0;35;"50+";9256.22;20
"F";0;0;0;35;"40-49";9218.3;21
"F";0;1;0;35;"50+";9162.18;22
"H";0;0;0;35;"50+";9096.97;23
"H";0;0;0;35;"40-49";9069.67;24
"H";0;1;1;35;"30-39";9039.33;25
"F";0;1;0;32;"40-49";9691.5;26
"F";0;0;1;35;"30-39";8828.52;27
"F";0;0;1;35;"30-39";8746.62;28
"H";0;0;0;35;"30-39";8716.28;29
"H";0;1;0;35;"50+";8714.77;30
"H";0;1;0;35;"50+";8696.57;31
"H";0;0;0;35;"50+";8696.57;32
"F";0;1;0;35;"40-49";8655.62;33
"F";0;0;0;35;"40-49";8629.83;34
"H";0;0;0;35;"40-49";8563.1;35
"H";0;0;0;35;"30-39";8458.45;36
"H";0;1;0;35;"50+";8428.12;37
"F";0;0;1;35;"50+";8422.05;38
"H";0;0;1;35;"30-39";8337.12;39
"F";0;0;0;35;"30-39";8332.57;40
"F";0;1;0;35;"30-39";8328.02;41
"H";0;0;0;35;"30-39";8277.97;42
"F";0;0;0;35;"50+";8218.82;43
"F";0;1;0;35;"40-49";8126.3;44
"F";0;0;0;35;"30-39";8108.1;45
"H";0;1;1;35;"50+";8073.22;46
"F";0;0;0;35;"40-49";8056.53;47
"F";0;0;1;35;"50+";8056.53;48
"F";0;1;0;35;"40-49";7942.78;49
"H";0;1;0;35;"40-49";7927.62;50
"F";0;0;0;35;"50+";7898.8;51
"F";0;0;0;35;"30-39";7889.7;52
"F";0;1;0;35;"40-49";7877.57;53
"H";0;1;0;35;"40-49";7753.2;54
"H";0;1;0;35;"50+";7713.77;55
"H";0;0;0;35;"30-39";7710.73;56
"F";0;0;0;35;"40-49";7687.98;57
"F";0;1;1;35;"40-49";7672.82;58
"H";0;1;0;35;"40-49";7654.62;59
"F";0;1;0;35;"50+";7637.93;60
"H";0;0;0;35;"30-39";7637.93;61
"F";0;1;1;35;"40-49";7601.53;62
"F";0;1;0;35;"40-49";7496.88;63
"F";0;1;0;35;"50+";7377.07;64
"H";0;1;0;28;"30-39";9198.58;65
"F";0;0;0;35;"30-39";7308.82;66
"F";0;1;0;35;"30-39";7304.27;67
"H";0;1;1;28;"50+";9086.35;68
"H";0;0;0;35;"50+";7264.83;69
"H";0;1;1;35;"50+";7263.32;70
"H";0;1;0;35;"50+";7185.97;71
"H";0;1;1;35;"40-49";7184.45;72
"H";0;1;0;35;"30-39";7178.38;73
"F";0;0;0;35;"30-39";7157.15;74
"F";1;1;0;35;"30-39";7148.05;75
"H";0;1;0;35;"40-49";7098;76
"H";0;0;0;35;"50+";7081.32;77
"H";0;0;1;35;"50+";6973.63;78
"F";0;0;1;35;"30-39";6902.35;79
"H";0;1;0;24;"50+";9978.15;80
"F";1;1;0;35;"30-39";6838.65;81
"F";0;1;0;35;"40-49";6818.93;82
"F";0;0;0;32;"40-49";7375.55;83
"F";0;0;0;35;"50+";6591.43;84
"F";0;1;0;35;"50+";6583.85;85
"H";0;0;1;35;"50+";6526.22;86
"H";0;0;0;35;"40-49";6494.37;87
"F";0;1;0;35;"40-49";6413.98;88
"H";0;0;0;35;"50+";6409.43;89
"H";0;1;0;35;"40-49";6398.82;90
"F";0;1;0;35;"30-39";6356.35;91
"F";0;0;0;35;"50+";6301.75;92
"F";0;1;0;35;"40-49";6212.27;93
"H";0;0;1;35;"40-49";6195.58;94
"H";0;0;0;24;"50+";9010.52;95
"H";0;0;0;35;"30-39";6175.87;96
"F";0;1;1;35;"40-49";6163.73;97
"F";0;1;1;35;"50+";6127.33;98
"H";0;0;0;35;"30-39";6121.27;99
"H";0;1;0;35;"40-49";6043.92;100
"H";0;1;0;35;"40-49";6031.78;101
"H";0;1;0;35;"40-49";6002.97;102
"H";0;0;0;35;"40-49";5984.77;103
"F";0;1;0;24;"50+";8679.88;104
"H";0;1;0;35;"30-39";5949.88;105
"H";0;0;0;35;"40-49";5930.17;106
"F";0;1;0;24;"50+";8597.98;107
"H";0;1;0;35;"30-39";5810.35;108
"H";0;0;0;35;"30-39";5805.8;109
"H";0;0;0;35;"50+";5749.68;110
"F";0;1;1;35;"50+";5739.07;111
"H";0;1;0;24;"30-39";8347.73;112
"F";0;1;0;35;"<30";5585.88;113
"F";0;1;1;35;"40-49";5581.33;114
"F";0;1;0;35;"50+";5522.18;115
"H";0;1;1;35;"40-49";5517.63;116
"H";0;0;0;35;"40-49";5464.55;117
"H";0;0;0;24;"30-39";7965.53;118
"H";0;0;0;35;"50+";5455.45;119
"H";0;0;0;24;"50+";7945.82;120
"F";0;1;0;35;"40-49";5388.72;121
"H";0;1;0;35;"50+";5359.9;122
"F";0;0;0;35;"50+";5293.17;123
"H";0;0;0;35;"50+";5212.78;124
"F";0;0;0;35;"40-49";5106.62;125
"H";0;1;0;28;"40-49";6371.52;126
"F";0;1;0;35;"40-49";5092.97;127
"F";0;0;0;35;"50+";5076.28;128
"F";0;1;0;35;"50+";5067.18;129
"F";1;1;0;35;"30-39";5056.57;130
"H";0;0;0;35;"50+";5035.33;131
"H";0;0;0;35;"50+";4988.32;132
"F";0;0;0;24;"50+";7254.22;133
"F";0;1;0;24;"50+";7120.75;134
"F";0;0;0;24;"30-39";7075.25;135
"H";0;0;1;24;"30-39";6993.35;136
"F";0;1;0;35;"40-49";4763.85;137
"F";0;1;0;35;"40-49";4712.28;138
"F";0;0;0;35;"50+";4663.75;139
"H";0;0;0;35;"40-49";4624.32;140
"F";0;1;0;35;"40-49";4563.65;141
"F";0;1;0;35;"40-49";4516.63;142
"H";0;1;0;35;"50+";4499.95;143
"H";0;1;0;35;"50+";4449.9;144
"F";0;0;0;35;"40-49";4424.12;145
"H";0;1;1;35;"50+";4421.08;146
"H";0;0;0;35;"50+";4296.72;147
"F";0;0;1;35;"50+";4289.13;148
"H";0;1;0;35;"30-39";4281.55;149
"H";0;0;0;35;"50+";4263.35;150
"F";0;1;0;35;"50+";4204.2;151
"F";0;1;0;35;"30-39";4198.13;152
"H";0;0;0;24;"50+";6074.25;153
"F";0;1;0;35;"40-49";4152.63;154
"H";0;0;0;35;"40-49";4134.43;155
"F";0;1;0;24;"50+";6004.48;156
"F";0;0;0;35;"40-49";4082.87;157
"H";0;0;0;35;"50+";4022.2;158
"F";0;0;0;35;"30-39";4013.1;159
"H";0;1;0;35;"40-49";4000.97;160
"H";0;0;0;35;"50+";3891.77;161
"H";0;0;1;35;"30-39";3882.67;162
"F";0;1;1;24;"50+";5619.25;163
"F";0;0;0;35;"50+";3835.65;164
"H";0;0;0;35;"40-49";3803.8;165
"F";0;1;1;35;"50+";3800.77;166
"F";0;0;0;35;"50+";3797.73;167
"F";0;1;0;35;"40-49";3705.22;168
"H";0;0;0;35;"40-49";3693.08;169
"H";0;0;1;35;"30-39";3677.92;170
"H";0;0;0;35;"50+";3655.17;171
"F";0;0;0;35;"40-49";3640;172
"F";0;1;0;35;"40-49";3597.53;173
