ppn,isbn_normalise,titre,annee,nomAuteur,lieuPublication,editeur,sujet,raisons,Source,Ensemble,Acquisition,Occupations,date_naissance,date_deces
026357364,9789221032052,Small-scale processing of fish,1982,Bureau international du travail Genève | Organisation des Nations Unies pour l'alimentation et l'agriculture Rome | Programme des Nations Unies pour l'environnement,Geneva,International Labour Office,Fishery processing | Fishery processing industries | Industrie et commerce | Politique publique | Produits de la pêche | Pêches | Transformation,lieu_publication,IDREF,Dépôt légal,,,,
026357364,9789222032051,Transformation du poisson à petite échelle,1991,Organisation des Nations Unies pour l'alimentation et l'agriculture,Genève,BIT,Aspect économique | Environnement | Guides pratiques | Produits de la pêche -- Conservation | Produits de la pêche -- Transformation,lieu_publication,BNF,Dépôt légal,,,,
026357364,9789241209359,Protein and amino acid requirements in human nutrition | report of a,2007,Joint WHO/FAO/UNU Expert Consultation on Protein and amino acid requirements in human nutrition | Organisation des Nations Unies pour l'alimentation et l'agriculture Rome,Geneva,World Health Organization,Acides aminés | Acides aminés dans l'alimentation humaine | Acte de congrès | Actes de congrès | Besoins alimentaires | Besoins nutritifs | Protéines,lieu_publication,IDREF,Dépôt légal,,,,
026357364,9789241209595,Evaluation of certain contaminants in food | Seventy-second report of the Joint FAO/WHO Expert Committee on Food Additives,2011,Comité mixte FAO-OMS d'experts des additifs alimentaires | Joint FAO/WHO expert committee on food additives Meeting | Organisation des Nations Unies pour l'alimentation et l'agriculture Rome | Organisation mondiale de la santé Genève,Geneva,World Health Organization,Acte de congrès | Actes de congrès | Additifs alimentaires | Aliments | Contamination | Contamination des aliments | Toxicologie | analyse | toxicité,lieu_publication,IDREF,Dépôt légal,,,,
026357364,9789241209601,Evaluation of certain food additives and contaminants | seventy-third report of the Joint FAO/WHO Expert Committee on Food Additives,2011,Comité mixte FAO-OMS d'experts des additifs alimentaires | Joint FAO/WHO expert committee on food additives Meeting | Organisation des Nations Unies pour l'alimentation et l'agriculture Rome | Organisation mondiale de la santé Genève,Geneva,World Health Organization,Actes de congrès | Additifs alimentaires | Aliments | Appréciation des risques | Aromatisants | Contamination | Contamination des aliments | Toxicologie | toxicité,lieu_publication,IDREF,Dépôt légal,,,,
026357364,9789241209748,Evaluation of certain food additives | seventy-sixth report of the Joint FAO/WHO Expert Committee on Food Additives,2012,Comité mixte FAO-OMS d'experts des additifs alimentaires | Joint FAO/WHO expert committee on food additives Meeting | Organisation des Nations Unies pour l'alimentation et l'agriculture Rome | Organisation mondiale de la santé Genève,Geneva,World Health Organization,Acte de congrès | Actes de congrès | Additifs alimentaires | Aliments | Aromatisants | Contamination | Contamination des aliments | Toxicologie | WA 712 | analyse | toxicité,lieu_publication,IDREF,Dépôt légal,,,,
026357364,9789241209830,Evaluation of certain food additives contaminants | seventy-seventh report of the Joint FAO/WHO Expert Committee on Food Additives,2013,Comité mixte FAO-OMS d'experts des additifs alimentaires | Joint FAO/WHO expert committee on food additives Meeting | Organisation des Nations Unies pour l'alimentation et l'agriculture Rome | Organisation mondiale de la santé Genève,Geneva,World Health Organization,Acte de congrès | Actes de congrès | Additifs alimentaires | Aliments | Appréciation des risques | Aromatisants | Contamination | Contamination des aliments | Régime alimentaire | Sécurité des aliments | Toxicologie | WA 712 | analyse | effets indésirables | méthodes | toxicité,lieu_publication,IDREF,Dépôt légal,,,,
026357364,9789241209908,Evaluation of certain food additives | seventy-ninth report of the joint FAO/WHO Expert Committee on food additives,2015,Comité mixte FAO-OMS d'experts des additifs alimentaires | Comité mixte FAO-OMS d'experts des additifs alimentaires Réunion | Organisation des Nations Unies pour l'alimentation et l'agriculture Rome | Organisation mondiale de la santé Genève,Geneva,World Health Organization,23 | 615.9 | Additifs alimentaires | Aliments | Aromatisants | Contamination | Contamination des aliments | Toxicologie | WA 712 | analyse | toxicité,lieu_publication,IDREF,Dépôt légal,,,,
026357364,9789241209953,Evaluation of certain food additives contaminants | eightieth report of the Joint FAO/WHO Expert Committee on Food Additives,2016,Comité mixte FAO-OMS d'experts des additifs alimentaires | Joint FAO/WHO expert committee on food additives Meeting | Organisation des Nations Unies pour l'alimentation et l'agriculture Rome | Organisation mondiale de la santé Genève,Geneva,World Health Organization,Actes de congrès | Additifs alimentaires | Aliments | Appréciation des risques | Aromatisants | Contamination | Contamination des aliments | Régime alimentaire | Sécurité des aliments | Toxicologie | WA 712 | analyse | effets indésirables | méthodes | toxicité,lieu_publication,IDREF,Dépôt légal,,,,
026357364,9789241209977,Evaluation of certain veterinary drug residues in food | eighty-first report of the Joint Fao/Who Expert Committee on Food Additives,2016,Comité mixte FAO-OMS d'experts des additifs alimentaires | Joint FAO/WHO expert committee on food additives Meeting | Organisation des Nations Unies pour l'alimentation et l'agriculture Rome | Organisation mondiale de la santé Genève,Geneva,World Health Organization,615.9 | Aliments | Appréciation des risques | Concentration maximale admissible | Contamination | Contamination des aliments | Dose sans effet nocif observé | Médicaments vétérinaires | RA1270.V47 | Résidus de médicaments | Teneur en médicaments vétérinaires | WA 712 | analyse | pharmacologie | toxicité,lieu_publication,IDREF,Dépôt légal,,,,
